date,vehicle_category,maker,electric_vehicles_sold
1/4/2023,2-Wheelers,OKINAWA,3179
1/4/2023,2-Wheelers,HERO ELECTRIC,3293
1/4/2023,2-Wheelers,OKAYA EV,1544
1/4/2023,2-Wheelers,BGAUSS,762
1/4/2023,2-Wheelers,BATTRE ELECTRIC,644
1/4/2023,2-Wheelers,KINETIC GREEN,838
1/4/2023,2-Wheelers,REVOLT,520
1/4/2023,2-Wheelers,OTHERS,4315
1/5/2021,2-Wheelers,HERO ELECTRIC,170
1/5/2021,2-Wheelers,OKINAWA,245
1/5/2021,2-Wheelers,AMPERE,147
1/5/2021,2-Wheelers,ATHER,160
1/5/2021,2-Wheelers,PURE EV,122
1/5/2021,2-Wheelers,TVS,9
1/5/2021,2-Wheelers,REVOLT,42
1/5/2021,2-Wheelers,BAJAJ,20
1/5/2021,2-Wheelers,BEING,54
1/5/2021,2-Wheelers,JITENDRA,13
1/5/2021,2-Wheelers,OTHERS,260
1/5/2022,2-Wheelers,OLA ELECTRIC,9266
1/5/2022,2-Wheelers,OKINAWA,10340
1/5/2022,2-Wheelers,HERO ELECTRIC,2970
1/5/2022,2-Wheelers,AMPERE,6176
1/5/2022,2-Wheelers,TVS,478
1/5/2022,2-Wheelers,ATHER,3337
1/5/2022,2-Wheelers,BAJAJ,1812
1/5/2022,2-Wheelers,OKAYA EV,19
1/5/2022,2-Wheelers,REVOLT,1589
1/5/2022,2-Wheelers,PURE EV,1464
1/5/2022,2-Wheelers,BEING,862
1/5/2022,2-Wheelers,JITENDRA,646
1/5/2022,2-Wheelers,OTHERS,3455
1/5/2023,2-Wheelers,OLA ELECTRIC,29447
1/5/2023,2-Wheelers,TVS,20188
1/5/2023,2-Wheelers,ATHER,15243
1/5/2023,2-Wheelers,BAJAJ,9976
1/5/2023,2-Wheelers,AMPERE,10659
1/5/2023,2-Wheelers,OKINAWA,2873
1/5/2023,2-Wheelers,HERO ELECTRIC,2085
1/5/2023,2-Wheelers,OKAYA EV,3831
1/5/2023,2-Wheelers,BGAUSS,1792
1/5/2023,2-Wheelers,BATTRE ELECTRIC,1185
1/5/2023,2-Wheelers,KINETIC GREEN,886
1/5/2023,2-Wheelers,REVOLT,565
1/5/2023,2-Wheelers,OTHERS,6627
1/6/2021,2-Wheelers,HERO ELECTRIC,1355
1/6/2021,2-Wheelers,OKINAWA,984
1/6/2021,2-Wheelers,AMPERE,299
1/6/2021,2-Wheelers,ATHER,320
1/6/2021,2-Wheelers,PURE EV,460
1/6/2021,2-Wheelers,TVS,208
1/6/2021,2-Wheelers,REVOLT,59
1/6/2021,2-Wheelers,BAJAJ,176
1/6/2021,2-Wheelers,BEING,198
1/6/2021,2-Wheelers,JITENDRA,43
1/6/2021,2-Wheelers,OTHERS,567
1/6/2022,2-Wheelers,OLA ELECTRIC,5897
1/6/2022,2-Wheelers,OKINAWA,7554
1/6/2022,2-Wheelers,HERO ELECTRIC,6836
1/6/2022,2-Wheelers,AMPERE,6919
1/6/2022,2-Wheelers,TVS,1983
1/6/2022,2-Wheelers,ATHER,3829
1/6/2022,2-Wheelers,BAJAJ,1824
1/6/2022,2-Wheelers,OKAYA EV,760
1/6/2022,2-Wheelers,REVOLT,2423
1/6/2022,2-Wheelers,PURE EV,1125
1/6/2022,2-Wheelers,BEING,1005
1/6/2022,2-Wheelers,JITENDRA,568
1/6/2022,2-Wheelers,OTHERS,3658
1/6/2023,2-Wheelers,OLA ELECTRIC,17768
1/6/2023,2-Wheelers,TVS,7772
1/6/2023,2-Wheelers,ATHER,4547
1/6/2023,2-Wheelers,BAJAJ,2975
1/6/2023,2-Wheelers,AMPERE,3006
1/6/2023,2-Wheelers,OKINAWA,2588
1/6/2023,2-Wheelers,HERO ELECTRIC,1123
1/6/2023,2-Wheelers,OKAYA EV,419
1/6/2023,2-Wheelers,BGAUSS,189
1/6/2023,2-Wheelers,BATTRE ELECTRIC,82
1/6/2023,2-Wheelers,KINETIC GREEN,201
1/6/2023,2-Wheelers,REVOLT,705
1/6/2023,2-Wheelers,OTHERS,4466
1/7/2021,2-Wheelers,HERO ELECTRIC,4557
1/7/2021,2-Wheelers,OKINAWA,2633
1/7/2021,2-Wheelers,AMPERE,663
1/7/2021,2-Wheelers,ATHER,1799
1/7/2021,2-Wheelers,PURE EV,1417
1/7/2021,2-Wheelers,TVS,648
1/7/2021,2-Wheelers,REVOLT,321
1/7/2021,2-Wheelers,BAJAJ,730
1/7/2021,2-Wheelers,BEING,494
1/7/2021,2-Wheelers,JITENDRA,212
1/7/2021,2-Wheelers,OTHERS,1202
1/7/2022,2-Wheelers,OLA ELECTRIC,3864
1/7/2022,2-Wheelers,OKINAWA,8394
1/7/2022,2-Wheelers,HERO ELECTRIC,9334
1/7/2022,2-Wheelers,AMPERE,6812
1/7/2022,2-Wheelers,TVS,4348
1/7/2022,2-Wheelers,ATHER,1289
1/7/2022,2-Wheelers,BAJAJ,2482
1/7/2022,2-Wheelers,OKAYA EV,1076
1/7/2022,2-Wheelers,REVOLT,2318
1/7/2022,2-Wheelers,PURE EV,1000
1/7/2022,2-Wheelers,BEING,1245
1/7/2022,2-Wheelers,JITENDRA,880
1/7/2022,2-Wheelers,OTHERS,3562
1/7/2023,2-Wheelers,OLA ELECTRIC,19409
1/7/2023,2-Wheelers,TVS,10272
1/7/2023,2-Wheelers,ATHER,6604
1/7/2023,2-Wheelers,BAJAJ,4081
1/7/2023,2-Wheelers,AMPERE,3530
1/7/2023,2-Wheelers,OKINAWA,2238
1/7/2023,2-Wheelers,HERO ELECTRIC,770
1/7/2023,2-Wheelers,OKAYA EV,775
1/7/2023,2-Wheelers,BGAUSS,653
1/7/2023,2-Wheelers,BATTRE ELECTRIC,133
1/7/2023,2-Wheelers,KINETIC GREEN,229
1/7/2023,2-Wheelers,REVOLT,478
1/7/2023,2-Wheelers,OTHERS,5020
1/8/2021,2-Wheelers,HERO ELECTRIC,5527
1/8/2021,2-Wheelers,OKINAWA,2894
1/8/2021,2-Wheelers,AMPERE,810
1/8/2021,2-Wheelers,ATHER,1613
1/8/2021,2-Wheelers,PURE EV,1094
1/8/2021,2-Wheelers,TVS,651
1/8/2021,2-Wheelers,REVOLT,853
1/8/2021,2-Wheelers,BAJAJ,796
1/8/2021,2-Wheelers,BEING,325
1/8/2021,2-Wheelers,JITENDRA,208
1/8/2021,2-Wheelers,OTHERS,1279
1/8/2022,2-Wheelers,OLA ELECTRIC,3475
1/8/2022,2-Wheelers,OKINAWA,8756
1/8/2022,2-Wheelers,HERO ELECTRIC,9925
1/8/2022,2-Wheelers,AMPERE,6771
1/8/2022,2-Wheelers,TVS,6426
1/8/2022,2-Wheelers,ATHER,5376
1/8/2022,2-Wheelers,BAJAJ,2620
1/8/2022,2-Wheelers,OKAYA EV,905
1/8/2022,2-Wheelers,REVOLT,1662
1/8/2022,2-Wheelers,PURE EV,880
1/8/2022,2-Wheelers,BEING,1099
1/8/2022,2-Wheelers,JITENDRA,653
1/8/2022,2-Wheelers,OTHERS,3678
1/8/2023,2-Wheelers,OLA ELECTRIC,18983
1/8/2023,2-Wheelers,TVS,15296
1/8/2023,2-Wheelers,ATHER,7065
1/8/2023,2-Wheelers,BAJAJ,6508
1/8/2023,2-Wheelers,AMPERE,3654
1/8/2023,2-Wheelers,OKINAWA,1977
1/8/2023,2-Wheelers,HERO ELECTRIC,774
1/8/2023,2-Wheelers,OKAYA EV,1137
1/8/2023,2-Wheelers,BGAUSS,912
1/8/2023,2-Wheelers,BATTRE ELECTRIC,287
1/8/2023,2-Wheelers,KINETIC GREEN,380
1/8/2023,2-Wheelers,REVOLT,508
1/8/2023,2-Wheelers,OTHERS,4990
1/9/2021,2-Wheelers,HERO ELECTRIC,6727
